t,Média móvel
-5.13879999761,-0.983016304347826
-5.13875999761,-0.9803743961352656
-5.13871999761,-0.9778079710144928
-5.13867999761,-0.9751660628019324
-5.13863999761,-0.9725996376811594
-5.13859999761,-0.969957729468599
-5.13855999761,-0.9674667874396136
-5.13851999761,-0.9648248792270532
-5.13847999761,-0.9622584541062802
-5.13843999761,-0.9596920289855072
-5.13839999761,-0.9568236714975844
-5.13835999761,-0.953653381642512
-5.13831999761,-0.9504076086956522
-5.13827999761,-0.94693538647343
-5.13823999761,-0.9432367149758454
-5.13819999761,-0.9396890096618358
-5.13815999761,-0.9359903381642511
-5.13811999761,-0.9324426328502416
-5.13807999761,-0.9288194444444444
-5.13803999761,-0.92512077294686
-5.13799999761,-0.9214221014492754
-5.13795999761,-0.9176479468599034
-5.13791999761,-0.9138737922705314
-5.13787999761,-0.9100996376811594
-5.13783999761,-0.9064764492753624
-5.13779999761,-0.9028532608695652
-5.13775999761,-0.8991545893719807
-5.13771999761,-0.8955314009661836
-5.13767999761,-0.891832729468599
-5.13763999761,-0.8882850241545893
-5.13759999761,-0.8845863526570048
-5.13755999761,-0.8808121980676329
-5.13751999761,-0.8771890096618358
-5.13747999761,-0.873641304347826
-5.13743999761,-0.8698671497584541
-5.13739999761,-0.8658665458937198
-5.13735999761,-0.8617904589371981
-5.13731999761,-0.8573369565217391
-5.13727999761,-0.8528079710144928
-5.13723999761,-0.848052536231884
-5.13719999761,-0.8434480676328503
-5.13715999761,-0.8388435990338164
-5.13711999761,-0.8342391304347826
-5.13707999761,-0.8297101449275363
-5.13703999761,-0.825030193236715
-5.13699999761,-0.8204257246376812
-5.13695999761,-0.8159722222222222
-5.13691999761,-0.8113677536231884
-5.13687999761,-0.8066123188405797
-5.13683999761,-0.8019323671497585
-5.13679999761,-0.7973278985507246
-5.13675999761,-0.7927989130434783
-5.13671999761,-0.7881944444444444
-5.13667999761,-0.7835899758454107
-5.13663999761,-0.7789855072463768
-5.13659999761,-0.774381038647343
-5.13655999761,-0.7698520531400966
-5.13651999761,-0.7653230676328503
-5.13647999761,-0.7607940821256038
-5.13643999761,-0.7560386473429952
-5.13639999761,-0.7510567632850241
-5.13635999761,-0.745697463768116
-5.13631999761,-0.7401871980676329
-5.13627999761,-0.7348278985507246
-5.13623999761,-0.7293176328502415
-5.13619999761,-0.7239583333333334
-5.13615999761,-0.7185990338164251
